N,HeapSort
100,3.2e-05
200,6.7e-05
300,8.9e-05
400,0.000127
500,0.000162
600,0.000198
700,0.000237
800,0.000307
900,0.000316
1000,0.000354
2000,0.000772
3000,0.001207
4000,0.00172
5000,0.00261
6000,0.002693
7000,0.003141
8000,0.003564
9000,0.004806
10000,0.004735
20000,0.010239
30000,0.016963
40000,0.022849
50000,0.028624
60000,0.03472
70000,0.041298
80000,0.046983
90000,0.053129
100000,0.060197
