N,HeapSort
40000,0.023048
40100,0.022648
40200,0.021862
40300,0.021775
40400,0.02287
40500,0.022642
40600,0.023328
40700,0.022834
40800,0.022371
40900,0.022231
41000,0.022072
41100,0.023098
41200,0.022592
41300,0.034129
41400,0.023525
41500,0.022559
41600,0.023916
41700,0.023725
41800,0.024035
41900,0.024292
42000,0.024511
42100,0.023912
42200,0.023867
42300,0.023239
42400,0.023424
42500,0.024288
42600,0.024549
42700,0.024431
42800,0.024581
42900,0.02491
43000,0.024775
43100,0.024543
43200,0.024869
43300,0.024034
43400,0.023871
43500,0.024277
43600,0.024735
43700,0.025379
43800,0.025289
43900,0.025442
44000,0.02509
44100,0.025435
44200,0.024999
44300,0.025171
44400,0.025813
44500,0.025492
44600,0.025272
44700,0.025483
44800,0.024898
44900,0.024682
45000,0.024927
45100,0.025515
45200,0.025745
45300,0.025757
45400,0.026059
45500,0.026579
45600,0.025997
45700,0.026072
45800,0.026965
45900,0.026569
46000,0.026375
46100,0.026681
46200,0.026966
46300,0.026253
46400,0.026635
46500,0.026457
46600,0.026616
46700,0.026874
46800,0.026685
46900,0.027219
47000,0.026982
47100,0.027259
47200,0.027229
47300,0.027264
47400,0.027534
47500,0.027781
47600,0.027528
47700,0.027726
47800,0.027728
47900,0.027118
48000,0.027151
48100,0.027419
48200,0.0278
48300,0.027912
48400,0.027422
48500,0.028214
48600,0.028274
48700,0.028422
48800,0.028144
48900,0.027558
49000,0.027677
49100,0.029105
49200,0.028495
49300,0.028438
49400,0.028827
49500,0.028512
49600,0.028949
49700,0.028801
49800,0.028961
49900,0.028971
50000,0.029148
50100,0.029211
50200,0.028744
50300,0.027921
50400,0.029566
50500,0.029323
50600,0.029586
50700,0.02951
50800,0.029684
50900,0.028934
51000,0.02912
51100,0.029282
51200,0.029329
51300,0.029456
51400,0.030267
51500,0.029616
51600,0.029715
51700,0.029483
51800,0.029812
51900,0.030002
52000,0.030383
52100,0.02987
52200,0.031201
52300,0.030512
52400,0.030366
52500,0.030369
52600,0.030447
52700,0.030551
52800,0.030278
52900,0.03028
53000,0.030923
53100,0.030683
53200,0.030569
53300,0.030623
53400,0.030746
53500,0.030569
53600,0.031478
53700,0.031032
53800,0.031001
53900,0.031097
54000,0.030944
54100,0.030698
54200,0.032167
54300,0.031693
54400,0.03137
54500,0.031675
54600,0.031453
54700,0.03255
54800,0.031855
54900,0.032347
55000,0.031989
55100,0.031415
55200,0.033255
55300,0.032204
55400,0.032218
55500,0.032449
55600,0.031099
55700,0.033213
55800,0.032437
55900,0.032302
56000,0.032437
56100,0.033256
56200,0.032769
56300,0.032842
56400,0.032857
56500,0.033196
56600,0.041379
56700,0.033024
56800,0.033603
56900,0.033179
57000,0.03321
57100,0.033111
57200,0.033638
57300,0.03331
57400,0.033528
57500,0.033438
57600,0.033999
57700,0.033195
57800,0.033513
57900,0.032045
58000,0.03454
58100,0.03382
58200,0.033577
58300,0.032529
58400,0.034306
58500,0.034113
58600,0.034249
58700,0.033283
58800,0.034489
58900,0.033958
59000,0.03425
59100,0.033574
59200,0.03508
59300,0.034365
59400,0.034256
59500,0.035414
59600,0.034258
59700,0.034995
59800,0.035259
59900,0.034881
60000,0.034936
60100,0.035968
60200,0.035108
60300,0.035234
60400,0.035785
60500,0.035393
60600,0.035547
60700,0.035935
60800,0.035427
60900,0.035341
61000,0.037571
61100,0.035827
61200,0.035372
61300,0.036522
61400,0.035573
61500,0.035765
61600,0.036684
61700,0.035825
61800,0.035404
61900,0.036735
62000,0.036078
62100,0.03544
62200,0.036351
62300,0.036223
62400,0.035437
62500,0.036759
62600,0.035964
62700,0.035994
62800,0.037084
62900,0.035792
63000,0.03652
63100,0.03754
63200,0.036415
63300,0.036412
63400,0.037429
63500,0.036821
63600,0.037064
63700,0.037301
63800,0.037022
63900,0.037803
64000,0.037382
64100,0.036537
64200,0.037873
64300,0.037091
64400,0.036445
64500,0.037865
64600,0.037534
64700,0.036928
64800,0.038659
64900,0.037382
65000,0.0375
65100,0.037382
65200,0.037719
65300,0.038593
65400,0.038177
65500,0.03887
65600,0.038194
65700,0.039129
65800,0.037991
65900,0.0391
66000,0.038895
66100,0.039242
66200,0.038871
66300,0.039181
66400,0.038416
66500,0.039374
66600,0.038765
66700,0.039256
66800,0.039328
66900,0.04018
67000,0.038729
67100,0.040066
67200,0.039535
67300,0.039869
67400,0.039272
67500,0.039943
67600,0.039733
67700,0.040257
67800,0.039998
67900,0.040579
68000,0.039459
68100,0.040691
68200,0.039744
68300,0.041181
68400,0.039941
68500,0.042666
68600,0.040996
68700,0.040314
68800,0.041304
68900,0.040816
69000,0.041417
69100,0.040685
69200,0.041339
69300,0.040801
69400,0.04148
69500,0.040972
69600,0.041451
69700,0.040946
69800,0.041382
69900,0.040632
70000,0.041471
70100,0.040618
70200,0.041921
70300,0.041129
70400,0.041501
70500,0.041011
70600,0.042015
70700,0.041457
70800,0.041876
70900,0.041776
71000,0.042596
71100,0.0418
71200,0.042602
71300,0.041571
71400,0.042098
71500,0.042492
71600,0.042842
71700,0.041376
71800,0.042467
71900,0.042369
72000,0.04324
72100,0.042571
72200,0.04329
72300,0.042581
72400,0.043313
72500,0.042507
72600,0.043449
72700,0.043207
72800,0.043485
72900,0.042535
73000,0.04357
73100,0.043013
73200,0.043715
73300,0.042783
73400,0.043748
73500,0.04361
73600,0.043654
73700,0.0437
73800,0.044712
73900,0.043247
74000,0.043256
74100,0.044841
74200,0.043605
74300,0.044653
74400,0.043575
74500,0.045026
74600,0.043673
