N,HeapSort
100,3.9e-05
200,7.1e-05
300,0.000142
400,0.00014
500,0.000179
600,0.000255
700,0.000263
800,0.000308
900,0.000377
1000,0.000394
2000,0.000836
3000,0.001208
4000,0.001739
5000,0.002693
6000,0.002641
7000,0.003241
8000,0.003701
9000,0.005578
10000,0.005352
20000,0.010308
30000,0.016539
40000,0.022944
50000,0.030733
60000,0.034998
70000,0.041633
80000,0.048508
90000,0.052665
100000,0.061472
