N,BruteFroce,DivideConquer
100,0.001905,0.000144
200,0.005397,0.000135
300,0.016538,0.00024
400,0.03551,0.000321
500,0.065172,0.000395
600,0.107334,0.00048
700,0.165427,0.00057
800,0.24766,0.000789
900,0.358357,0.000756
1000,0.462092,0.000839
1100,0.602256,0.000947
1200,0.772105,0.001039
1300,0.972702,0.001126
1400,1.20603,0.001251
1500,1.47288,0.001305
1600,1.77479,0.001404
1700,2.13495,0.00154
1800,2.51135,0.001756
1900,2.93736,0.00181
2000,3.45192,0.00201
2100,3.95785,0.002026
2200,4.53085,0.002206
2300,5.1544,0.002248
2400,5.84479,0.002528
2500,6.59157,0.002483
2600,7.40777,0.002754
2700,8.29706,0.002801
2800,9.20419,0.003093
2900,10.2202,0.003132
3000,11.3099,0.003719
3100,12.4841,0.003428
3200,13.7096,0.003863
3300,15.0211,0.003798
3400,16.4021,0.004241
3500,17.8556,0.004122
3600,19.4448,0.004526
3700,21.019,0.004441
3800,22.7529,0.005111
3900,24.5735,0.005249
4000,26.7561,0.006182
4100,28.5998,0.005439
4200,30.8096,0.006659
4300,33.0346,0.006879
4400,35.5593,0.007614
4500,38.3548,0.007682
4600,40.6625,0.008247
4700,43.0347,0.008174
4800,45.9304,0.009269
4900,49.1815,0.009226
5000,52.3598,0.010029
5100,55.5834,0.009991
5200,59.145,0.010418
5300,62.2699,0.01072
5400,66.1582,0.010899
5500,70.2239,0.011961
5600,74.1542,0.01253
5700,78.1599,0.012597
5800,81.9438,0.013249
5900,86.0471,0.013199
6000,90.1931,0.014391
6100,95.1829,0.015904
6200,99.8318,0.014701
6300,105.176,0.014929
6400,110.443,0.015848
6500,115.86,0.015669
6600,121.311,0.018214
6700,125.241,0.017636
6800,131.148,0.018376
6900,137.086,0.018378
7000,143.726,0.019979
7100,150.039,0.021514
7200,155.528,0.020422
7300,163.056,0.020423
7400,169.542,0.021909
7500,176.377,0.021544
7600,182.885,0.023116
7700,189.15,0.022769
7800,199.318,0.023885
7900,204.182,0.023656
8000,212.703,0.02534
8100,223.114,0.025932
8200,228.833,0.026237
8300,236.685,0.025962
8400,247.931,0.028774
8500,255.153,0.030751
8600,262.797,0.033518
8700,274.138,0.033293
8800,281.663,0.03555
8900,291.168,0.035114
9000,300.37,0.037791
9100,310.781,0.038662
9200,320.817,0.041002
9300,331.484,0.040298
9400,344.424,0.044214
9500,357.428,0.042974
9600,368.304,0.046288
9700,376.469,0.045685
9800,388.5,0.049986
9900,399.392,0.049492
10000,411.371,0.051798
